Cohort Year,Year,School,Conference,Sport,State,GSR,FGR,,
2011,2017-2018,University of Texas at Austin,Big 12 Conference,Football,TX,78,67,,
2011,2017-2018,University of Texas at El Paso,Conference USA,Football,TX,79,51,,
2011,2017-2018,University of Texas at San Antonio,Conference USA,Football,TX,80,63,,
2011,2017-2018,University of Toledo,Mid-American Conference,Football,OH,79,69,,
2011,2017-2018,Towson University,Colonial Athletic Association,Football,MD,73,53,,
2011,2017-2018,Troy University,Sun Belt Conference,Football,AL,73,57,,
2011,2017-2018,Tulane University,American Athletic Conference,Football,LA,88,69,,
2011,2017-2018,The University of Tulsa,American Athletic Conference,Football,OK,77,75,,
2011,2017-2018,U.S. Air Force Academy,Mountain West Conference,Football,CO,77,,,
2011,2017-2018,U.S. Military Academy,Independent,Football,NY,86,,,
2011,2017-2018,U.S. Naval Academy,American Athletic Conference,Football,MD,81,100,,
2011,2017-2018,Utah State University,Mountain West Conference,Football,UT,92,63,,
2011,2017-2018,University of Utah,Pac-12 Conference,Football,UT,95,67,,
2011,2017-2018,Valparaiso University,Pioneer Football League,Football,IN,68,,,
2011,2017-2018,Vanderbilt University,Southeastern Conference,Football,TN,95,84,,
2011,2017-2018,Villanova University,Colonial Athletic Association,Football,PA,85,84,,
2011,2017-2018,Virginia Military Institute,Southern Conference,Football,VA,77,63,,
2011,2017-2018,Virginia Polytechnic Institute and State University,Atlantic Coast Conference,Football,VA,90,74,,
2011,2017-2018,University of Virginia,Atlantic Coast Conference,Football,VA,85,72,,
2011,2017-2018,Wagner College,Northeast Conference,Football,NY,73,60,,
2011,2017-2018,Wake Forest University,Atlantic Coast Conference,Football,NC,89,74,,
2011,2017-2018,Washington State University,Pac-12 Conference,Football,WA,75,56,,
2011,2017-2018,University of Washington,Pac-12 Conference,Football,WA,84,66,,
2011,2017-2018,Weber State University,Big Sky Conference,Football,UT,67,52,,
2011,2017-2018,West Virginia University,Big 12 Conference,Football,WV,65,60,,
2011,2017-2018,Western Carolina University,Southern Conference,Football,NC,79,50,,
2011,2017-2018,Western Illinois University,Missouri Valley Football Conference,Football,IL,75,51,,
2011,2017-2018,Western Kentucky University,Conference USA,Football,KY,74,55,,
2011,2017-2018,Western Michigan University,Mid-American Conference,Football,MI,75,54,,
