ds,yhat,yhat_lower,yhat_upper,zipcode
2018-11-01,1131346.7801508522,1035271.5091656615,1222173.074328773,94066
2018-12-01,1138496.7333507075,1032663.606085637,1241004.679118534,94066
2018-01-01,1851830.439222158,1829708.7707116671,1876342.2320378907,94070
2018-02-01,1865571.2419523809,1843005.2238960462,1889645.0375617926,94070
2018-03-01,1876348.1131894025,1849306.2775660984,1903421.843439811,94070
2018-04-01,1891869.3335688382,1863659.2863694306,1925532.3828217587,94070
2018-05-01,1904922.981641138,1867216.348208659,1946048.0648971421,94070
2018-06-01,1920156.8618789823,1875641.5777798416,1970253.5171277884,94070
2018-07-01,1932622.1548636244,1873957.18860441,1992300.7805272704,94070
2018-08-01,1952852.9497633993,1884307.0870559518,2033881.2773823892,94070
2018-09-01,1971723.0721059022,1884706.170659601,2069693.8405362663,94070
2018-10-01,1982923.0263043449,1889388.9179378091,2093700.7573434424,94070
2018-11-01,2003733.2827586464,1898619.4521951624,2135969.9385110163,94070
2018-12-01,2017148.4217019265,1896927.2709676428,2166840.4537191438,94070
2018-01-01,948438.7298331463,935660.494246314,962420.449484521,94080
2018-02-01,953765.1366148442,939211.4526981174,968001.4452464635,94080
2018-03-01,960118.1768619638,943597.2495989266,976679.466562108,94080
2018-04-01,966965.6509925238,946805.5817691284,987171.5147720632,94080
2018-05-01,972453.9361345067,945512.7033900474,1001274.8962806211,94080
2018-06-01,978186.8902192409,943536.7489992984,1017786.0066110409,94080
2018-07-01,984376.4985771345,941461.7044194702,1030056.6291775738,94080
2018-08-01,992615.2673925308,939519.6419695198,1048803.476101475,94080
2018-09-01,998621.523363889,937211.4105578103,1067634.8701282807,94080
2018-10-01,1003867.9637698437,927298.2473899291,1083862.6347963978,94080
2018-11-01,1011447.5990023406,931193.3884189533,1106224.4797734153,94080
2018-12-01,1018279.0445306601,926379.8286760644,1127138.3606918335,94080
2018-01-01,1673107.7818932447,1634899.2806168057,1711272.1686021984,94086
2018-02-01,1694186.6604516553,1656070.7112978534,1734111.8224875552,94086
2018-03-01,1697971.6465626152,1657992.1383202935,1740716.0950598407,94086
2018-04-01,1720553.702366916,1674563.6451809686,1769564.0805842036,94086
2018-05-01,1734380.5479061608,1686195.3688541255,1781738.356456903,94086
2018-06-01,1757063.031106785,1698645.1234183647,1825792.9593416443,94086
2018-07-01,1772175.194185096,1711218.3210478704,1851925.5468622297,94086
2018-08-01,1796393.1846382148,1716060.2752463666,1885122.5559230035,94086
2018-09-01,1817519.7815999568,1737828.4828721248,1925396.0954983558,94086
2018-10-01,1832773.0582024693,1734275.0804114772,1966802.2666629292,94086
2018-11-01,1856310.7517607543,1753113.287725361,1992757.1952164043,94086
2018-12-01,1872530.0992641705,1741990.8943817622,2042746.5700338383,94086
2018-01-01,1969575.8272536604,1934374.3242480753,2002971.0397685894,94087
2018-02-01,1990554.025147658,1956739.1428583346,2025497.8315403382,94087
2018-03-01,1994936.7528818608,1953339.3221772616,2034872.0040103025,94087
2018-04-01,2016705.5536323346,1978995.9770093816,2059134.4898720682,94087
2018-05-01,2030763.2572689801,1983162.2353376236,2080439.3357215084,94087
2018-06-01,2053742.0895312177,1999391.1471944107,2111544.9571719957,94087
2018-07-01,2068820.998984654,2001383.1873198084,2151311.887447478,94087
2018-08-01,2094646.1200717476,2017344.9762823964,2185224.6565594985,94087
2018-09-01,2118434.634817009,2029481.2094163063,2227092.5923594013,94087
2018-10-01,2135147.085491187,2036338.6680987482,2255927.3226683256,94087
2018-11-01,2162027.4056949574,2046315.7200170644,2303317.1827871026,94087
2018-12-01,2178346.1979689277,2038942.414721682,2350355.9979826156,94087
2018-01-01,1057232.3016372183,1043942.487514461,1072053.7241630552,94089
2018-02-01,1063230.7318477896,1048248.5542319334,1077661.0347171936,94089
2018-03-01,1078269.3538970281,1061751.4854133383,1094105.9789467172,94089
2018-04-01,1083889.6906419091,1066175.8652756107,1101948.9474877587,94089
2018-05-01,1092082.762257455,1069914.81686447,1115268.2629370748,94089
2018-06-01,1097073.6682840725,1072018.1280469573,1124870.7371046564,94089
2018-07-01,1106046.0596332813,1070611.7375704516,1138050.9976046265,94089
2018-08-01,1111711.5958870861,1067215.6178954127,1152735.1637316684,94089
2018-09-01,1116956.2383007212,1066152.239788807,1165203.2802532064,94089
2018-10-01,1126486.0380585766,1068938.3283392217,1185625.5722837534,94089
2018-11-01,1133940.0538068986,1070699.4158404607,1202235.803813887,94089
2018-12-01,1143261.1880604625,1068245.4153899907,1220056.6983454255,94089
2018-01-01,1786191.8612390163,1753554.6361806984,1819143.6517728711,94103
2018-02-01,1819631.5841200892,1784521.1212176355,1856128.3756213076,94103
2018-03-01,1798736.1156290001,1762552.3769383365,1834525.5786867978,94103
2018-04-01,1829842.4682574756,1782703.0872754944,1879547.6944645424,94103
2018-05-01,1842242.1104690784,1784556.0216164556,1902954.6528625982,94103
2018-06-01,1874292.200120836,1792445.0904143525,1952940.395977872,94103
2018-07-01,1885528.7714012156,1780853.7252583972,1986430.118886556,94103
2018-08-01,1921995.108374632,1792696.7114979278,2026785.6398210302,94103
2018-09-01,1957822.9006493164,1812873.168321676,2093625.8833004562,94103
2018-10-01,1971722.3650738227,1804559.2384740568,2117902.104072437,94103
2018-11-01,2008494.538507379,1819777.1977808245,2185879.7596541014,94103
2018-12-01,2022340.9615328857,1809897.7203192238,2213755.73617773,94103
2018-01-01,1689820.6718533249,1664339.7874760437,1717435.8375424882,94107
2018-02-01,1715750.8782372863,1685715.2910100932,1746342.345311823,94107
2018-03-01,1701849.1047223443,1669731.823427966,1734353.061239485,94107
2018-04-01,1728579.5027801404,1691973.5526224528,1765678.6287067905,94107
2018-05-01,1742219.8315053969,1699888.1736104651,1788313.4958177235,94107
2018-06-01,1769558.449138863,1711712.3179546262,1830094.4144456882,94107
2018-07-01,1780339.854920899,1712432.2725040277,1846681.3858505005,94107
2018-08-01,1808524.2274931062,1727004.4861023107,1908341.5770630683,94107
2018-09-01,1835349.3431779656,1740235.8508971762,1949333.0827744165,94107
2018-10-01,1848875.762128069,1735682.9441708568,1978013.9893319812,94107
2018-11-01,1873768.6387094075,1743415.4934671896,2028352.2339537663,94107
2018-12-01,1885846.188614039,1734059.0116465185,2057168.019491156,94107
2018-01-01,3770260.2382469736,3714653.4221141385,3820562.454133686,94109
2018-02-01,3770008.2629310265,3714577.1343634063,3828816.2431819146,94109
2018-03-01,3808023.677937202,3740799.9846685366,3870451.5206768806,94109
2018-04-01,3803813.4315382624,3714294.393906187,3872757.102824893,94109
2018-05-01,3819752.1677481015,3724321.822614967,3911022.6243348243,94109
2018-06-01,3819004.3088268796,3693384.7498294855,3939094.3166798884,94109
2018-07-01,3827723.1393295852,3656508.139303294,3979002.317742392,94109
2018-08-01,3831347.080646984,3619480.049393335,4038729.3111666404,94109
2018-09-01,3842230.7479661256,3585549.204592054,4081974.0006608567,94109
2018-10-01,3854716.222131497,3580325.93480543,4140588.7078677216,94109
2018-11-01,3868323.099277665,3561940.778232971,4197330.867048751,94109
2018-12-01,3878245.6946975095,3538477.580049177,4258387.524437665,94109
2018-01-01,1570845.0679002858,1539904.1854796847,1600887.484642829,94110
2018-02-01,1595911.1400882518,1562092.7803875457,1628165.1129438279,94110
2018-03-01,1588035.2829005339,1554350.3782619385,1623264.826577814,94110
2018-04-01,1609606.9812183764,1569498.023838374,1649280.2748684648,94110
2018-05-01,1625228.012889538,1579581.033402529,1677930.2447756103,94110
2018-06-01,1650484.8467726414,1588865.1325726742,1715103.3879342382,94110
2018-07-01,1661037.1314099997,1587378.422425135,1733006.0812712351,94110
2018-08-01,1690188.9571729503,1601299.7269238408,1790332.2167093905,94110
2018-09-01,1722372.1660887734,1608917.651912401,1840312.8144870468,94110
2018-10-01,1735499.5676185763,1609688.0714366615,1867310.360789522,94110
2018-11-01,1766329.3086518662,1614365.5619530985,1917001.0173986345,94110
2018-12-01,1777430.6254950596,1611904.0741273717,1947935.858572551,94110
2018-01-01,1007512.236718157,990698.0305519088,1023052.9519650907,94112
2018-02-01,1019446.9630142505,1002982.6717971477,1035457.5688693821,94112
2018-03-01,1016861.8016123842,999877.1047959225,1034707.471529139,94112
2018-04-01,1029241.537319515,1010811.1550914639,1050228.039835695,94112
2018-05-01,1037758.194636629,1015359.1998493454,1061508.1948664049,94112
2018-06-01,1050806.9362569232,1021052.1670064937,1081628.408276996,94112
2018-07-01,1057632.4651975955,1026215.814596956,1095491.1756176364,94112
2018-08-01,1071322.1525566417,1032792.1505986728,1117823.3905690035,94112
2018-09-01,1085031.377741577,1034048.1529568647,1143154.697112212,94112
2018-10-01,1092337.4532653498,1036578.6806012292,1161585.5191885808,94112
2018-11-01,1105387.212776982,1034563.8464337754,1184942.6470626416,94112
2018-12-01,1112063.1839129117,1030196.5478785262,1204006.969048522,94112
2018-01-01,2314862.8380228574,2272627.520384528,2358637.519552477,94114
2018-02-01,2331402.546069887,2284550.5646943455,2375924.801762698,94114
2018-03-01,2348446.301050338,2291907.1765105426,2403020.8021610687,94114
2018-04-01,2362719.3072050004,2305966.787486541,2429362.1749917925,94114
2018-05-01,2381177.7592381183,2305451.6619882043,2467281.5093122087,94114
2018-06-01,2400156.647580248,2307790.4246324394,2505275.759549218,94114
2018-07-01,2414348.03776144,2291499.1760266796,2545839.682037594,94114
